Article Count,Article ID,Publication Date,Title,Keywords,Abstract
11,37908940,2023-11-01,"Epidemiology, Types, Causes, Clinical Presentation, Diagnosis, and Treatment of Hypothyroidism.","deficiency"", ""hypothyroidism"", ""levothyroxine"", ""thyroxine"", ""tsh","Hypothyroidism means an underactive thyroid gland. This leads to a decrease in the functioning of the thyroid gland. It is a very common endocrine disorder that causes under-secretion of thyroid hormones, mainly thyroxine (T4) and triiodothyronine (T3). It affects people of every age group but is more commonly found in women and older people. The symptoms of hypothyroidism can go unnoticed, may not be specific, and may overlap with other conditions, which makes it harder to diagnose it in some cases. Common symptoms include fatigue, weight gain, increased sensitivity to cold (cold intolerance), irregular bowel movements (constipation), and dry skin (xeroderma). These conditions are mostly the result of a low metabolic rate in the body. Weight gain occurs due to a decrease in fat-burning rate and cold intolerance due to a decrease in heat production by the body. This condition can be caused by a variety of factors, including autoimmune diseases, radiation therapy, thyroid gland removal surgeries, and certain medications. The diagnosis of hypothyroidism is based on laboratory tests that measure the levels of thyroid hormones (T3 and T4) in the blood. Treatment typically involves lifelong hormone replacement therapy with synthetic thyroid hormone replacement medication, such as levothyroxine, to help regulate hormone levels in the body. People with hypothyroidism may need to have their medication dosage adjusted over time. If hypothyroidism is left untreated, it can lead to severe complications like mental retardation, delayed milestones, etc., in infants and heart failure, infertility, myxedema coma, etc., in adults. With appropriate treatment, the symptoms of hypothyroidism can be effectively managed, and most people with the condition can lead normal, healthy lives. Lifestyle modifications like eating healthy food and exercising regularly can help manage the symptoms and improve the quality of life."
12,37908892,2023-11-01,DETERMINATION OF MANDIBULAR BONE CHANGES IN PATIENTS WITH PRIMARY HYPOTHYROIDISM TREATED WITH LEVOTHYROXINE SODIUM.,"Fractal Dimension"", ""Gonial Index"", ""Mandibular Cortical Index"", ""Mandibular Cortical Width"", ""Panoramic Mandibular Index"", ""Primary hypothyroidism","This study aimed to assess fractal dimension (FD) and the radiomorphometric indexes on the digital panoramic radiography (DPR) of patient with primary hypothyroidism receiving levothyroxine sodium replacement therapy.
A total of 115 subjects were included in this cross sectional retrospective study. According to the results of the thyroid function tests, the subjects were divided into two groups as primary hypothyroidism (levothyroxine sodium replacement therapy given), (n = 57) and the healthy control group (n = 58). The fractal dimension (FD), panoramic mandibular index (PMI), mandibular cortical width (MCW), gonial index (GI) and mandibular cortical index (MCI) values of all patients were calculated on DPRs. The statistical analysis of all data was performed with SPSS version 22.
The distributions of age and gender in the primary hypothroidism group were similar to control group (p = 0.19 and p = 0.62, respectively). The two groups did not differ statistically significantly in terms of FD, PMI, MCW, GI, and MCI.
We determined that mandibular cortical and trabecular bone structure did not significantly differ between healthy individuals and patients receiving drug replacement theraphy due to hypothyroidism, but our results should be further supported with the investigation of clinical parameters."
13,37908456,2023-11-01,Two Japanese Infants With Hypothyroidism Following Exposure to Iodinated Contrast Media.,"hypothyroidism"", ""iodinated contrast media","We report 2 Japanese infants with hypothyroidism requiring levothyroxine (LT4) replacement therapy following exposure to iodinated contrast media (ICM). Patient 1 was born at 32 weeks gestation. He had congenital heart disease and underwent contrast-enhanced computed tomography (CT) on day 22 (estimated amount of iodine: 600 mg/kg/dose). The newborn mass screening showed normal thyrotropin (thyroid-stimulating hormone; TSH) levels at day 4, but high TSH and low free thyroxine levels on retest at day 44. LT4 replacement therapy was administered on days 46 to 74. No hypothyroidism requiring LT4 replacement therapy was observed afterward. The ultrasonography showed a hypoplastic thyroid gland. Patient 2 was born full-term. She had congenital heart disease and underwent contrast-enhanced CT on day 52 (estimated amount of iodine: 1500 mg/kg/dose). The newborn mass screening showed normal TSH levels on day 4, but high TSH levels on retest on day 62. LT4 replacement therapy was administered from day 65 to 3 years of age. Genetic analysis showed a heterozygous variant of "
14,37908246,2023-11-01,Hypothyroidism After Use of Immune Checkpoint Inhibitor Therapy in Patient With Graves' Disease: Cure?,"Graves' disease"", ""antithyroid drug (ATD)"", ""hypothyroidism"", ""immune checkpoint inhibitors"", ""programmed cell death protein-1 (PD-1) inhibitor"", ""thyroid-stimulating hormone"", ""thyroiditis","Immune checkpoint inhibitors (ICIs) are frequently used as treatment for many malignancies. Immune-related adverse events (irAEs) due to use of ICIs are common. Thyroid involvement is the most common endocrine irAE. Here, we present an unusual case of Graves' disease potentially cured due to destructive thyroiditis caused by inflammation due to ICIs. Thyroid irAEs are more common with programmed cell death protein-1 (PD-1) inhibitor or programmed cell death-ligand 1 (PD-L1) inhibitors than cytotoxic T-lymphocyte-associated protein 4 (CTLA-4) inhibitors. Baseline and serial monitoring of thyroid function tests is recommended."
15,37906872,2023-10-31,[Cognitive performance of preschoolers with Congenital Hypothyroidism enrolled in a follow-up program].,N/A,"The age at treatment initiation is decisive for limiting the neurological sequelae of Congenital Hypothyroidism (CH). Incorporating children into follow-up programs could be very helpful.
To evaluate the cognitive performance of preschool children with CH incorporated into a follow- up program.
Prospective study of 93 patients with a confirmed diagnosis of CH. Intelligence quotient (IQ) was assessed using the Wechsler Preschool and Primary Intelligence Scale (WPPSI) at 4 and 5 years, and the WISC-R at 6 years of age. Full-Scale IQ (FSIQ), Verbal IQ (VIQ), and Performance IQ (PIQ) scores were analyzed.
The study sample was 80 children. The average age at starting hormonal treatment was 42 ± 18 days; treatment started early in 25 patients (24 ± 6 days) and late in 55 patients (50 ± 16 days). The mean initial dose of Levothyroxine was 13.5 ± 1.5µg/kg/day. Children with athyrosis and late initiation of treatment had lower scores on the VIQ (85 ± 14), the PIQ (89 ± 12), and the FSIQ (86 ± 13) scales at 4 years of age, in comparison with patients with early initiation of treatment. These patients scored within the cut-off point for the normal IQ classification (90-109 points). IQ comparison at 6 years of age revealed differences up to 14 points in the PIQ and 11 points in the FSIQ between children with athyrosis and early initiation of treatment, with and without regular attendance to the follow-up program.
These results support the importance of early initiation of treatment and the incorporation of children in follow-up programs and early stimulation. The etiology of hypothyroidism and the age at initiation of treatment were the most significant factors that affected cognitive performance."
16,37906392,2023-10-31,Ameliorative effects of thiamin on learning behavior and memory dysfunction in a rat model of hypothyroidism: implication of oxidative stress and acetylcholinesterase.,"Cholinergic disturbance"", ""Hypothyroidism"", ""Memory deficits"", ""Redox hemostasis"", ""Thiamine","Hypothyroidism causes learning and memory impairment. Considering the neuroprotective properties of thiamine (Vitamin B1), this study was conducted to investigate the effects of thiamine on acetylcholinesterase (AChE) activity, oxidative damage, and memory deficits in hypothyroid rats.In this study, 50 rats (21 days old) were randomly divided into 5 groups and treated with propylthiouracil (0.05% in drinking water) and thiamine (50, 100, and 200 mg/kg, oral) for 7 weeks. Following that, Morris water maze (MWM) and passive avoidance (PA) tests were performed. Finally, oxidative stress indicators and AChE activity were measured in brain tissue.Treatment of hypothyroid rats with thiamine, especially at 100 and 200 mg/kg, alleviated the ability to remember the location of the platform as reflected by less time spent and distance to reach the platform, during the MWM test (P < 0.05 to P < 0.001). In the PA test, the latency to enter the dark chamber and light stay time were increased in rats who received thiamine compared to the hypothyroid group (P < 0.05 to P < 0.001). In addition, thiamine increased the levels of total thiol groups and superoxide dismutase while decreasing the levels of malondialdehyde and AChE.Our results suggest that thiamine supplementation could effectively improve memory loss in a rat model of hypothyroidism. The positive effects of thiamin on the learning and memory of hypothyroid rats may be due to amelioration of redox hemostasis and cholinergic disturbance."
17,37905267,2023-10-31,Systemic Lupus Erythematosus Presenting With Severe Hypothyroidism and Extensive Pericardial Effusion in a Child.,"autoimmune disease"", ""cardiac tamponade"", ""hypothyroidism"", ""pericardial effusion"", ""periorbital edema"", ""systemic lupus erythematosus","Systemic lupus erythematosus (SLE) is a multisystem autoimmune disease, which may be associated with other autoimmune diseases, like autoimmune hypothyroidism. Both disorders can involve the cardiovascular system and cause pericardial effusion with cardiac tamponade. Herein, we describe a young eight-year-old female patient who initially presented with periorbital edema, cold intolerance, fatigue, and papular skin rash that was present on the face and the chest and was found to have significant pericardial effusion along with bilateral pleural effusion. Further laboratory investigation done in the hospital revealed severe hypothyroidism and positive SLE antibodies (antinuclear antibodies [ANA], antidouble strand DNA [anti-ds-DNA], and Sjögren's syndrome antibodies A and B [SS-A and SS-B]). She was administered levothyroxine and pulse methylprednisolone, which significantly improved her condition. She was discharged on maintenance therapy with regular follow-ups with a multidisciplinary team."
18,37904373,2023-10-31,The causal relationship between hypothyroidism and frozen shoulder: A two-sample Mendelian randomization.,N/A,"To investigate the causal relationship between hypothyroidism and frozen shoulder using a Mendelian randomization (MR) approach. Pooled data from a large-scale genome-wide association study (GWAS) were used. Genetic loci that were independent of each other and associated with hypothyroidism and frozen shoulder in populations of European ancestry were selected as instrumental variables. Inverse variance weighting (IVW) was used as the primary analysis method. Weighted median (WME) and MR-Egger were used as complementary analysis methods to assess causal effects. To explore the causal relationship between hypothyroidism and frozen shoulder. Sensitivity test analysis was performed using heterogeneity test, multiple validity test, and leave-one-out analysis to explore the robustness of the results. IVW results showed an OR (95% CI) of 1.07 (1.01-1.14), P = .024, indicating that hypothyroidism is a risk factor for a frozen shoulder. And no pleiotropy was found by the test, and sensitivity analysis also showed robust results. This study used 2-sample MR analysis to analyze and explore the genetic data, and the results showed a higher prevalence of frozen shoulder in patients with hypothyroidism, suggesting that active control of hypothyroidism may reduce the occurrence of frozen shoulder."
19,37900090,2023-10-30,Investigating salivary concentration of calcium ion in hypothyroidism.,"calcium"", ""hypothyroidism"", ""salivary","Hypothyroidism is the most common disease of the thyroid gland. Thyroid hormone plays a crucial role in regulating tissue growth and metabolism. Additionally, patients with thyroid dysfunction have a higher incidence of caries and periodontal problems. The presence of calcium and phosphate ions seems to be effective in remineralizing teeth and reducing caries. The aim of this study was to evaluate the salivary level of calcium in patients with hypothyroidism.
The results of this study showed that saliva calcium concentration in patients with hypothyroidism is significantly lower than healthy subjects. Also, no significant association was found between salivary calcium levels and TSH and T4 hormones level of blood.
The increased prevalence of dental caries in patients with hypothyroidism may be related to a decrease in their calcium levels."
20,37897184,2023-10-28,Optimising levothyroxine treatment for subclinical hypothyroidism during pregnancy.,"dose titration"", ""levothyroxine"", ""pregnancy"", ""subclinical hypothyroidism","The onset of pregnancy places additional stress of the thyroid gland, which must produce additional thyroid hormones to support the developing foetus. Hypothyroidism, including subclinical hypothyroidism (SCH) may appear de novo at this time, or existing thyroid disease may become more severe. Accordingly, SCH is a relatively common complication of up to about 3% of pregnancies, with higher rates in some areas. There is strong evidence from systematic reviews and meta-analyses that uncontrolled SCH is associated with an increased risk of adverse pregnancy outcomes, including miscarriage, preeclampsia, gestational diabetes. The evidence base also suggests that treatment with levothyroxine (LT4), optimised to control thyrotropin (TSH) to within it pregnancy-specific reference ranges, reduces these risks. Current management guidelines provide a clear framework of intervention with LT4 in pregnant women with SCH, especially where TSH is high or where thyroperoxidase autoantibodies are present. Sub-optimal adherence to LT4 is common: it is important that patients take their LT4 correctly and that treating physicians and/or healthcare professionals manage these patients according to the latest management guidelines. The titration of LT4 is likely to occur within a range of LT4 daily doses between 25 g and 75 g for the majority of this population. LT4 is a narrow therapeutic index drug and small variations in dosage may produce a clinically significant change in thyroid status. Newer formulations of LT4, engineered to provide more precise and consistent dosing, and with a broad range of tablet strengths, may facilitate the precise titration of the LT4 dose for these patients."
21,37893606,2023-10-28,Two Cases of Congenital Hypothyroidism Revealing Thyroid Agenesis.,"congenital hypothyroidism"", ""neonatal hypothyroidism"", ""thyroid agenesis","Congenital hypothyroidism (CH) may have major detrimental effects on growth and neurological development, but early intervention leads to excellent outcomes. CH is classified as transient or permanent, primary or secondary, with primary CH being the most common neonatal endocrine disorder. Most patients with CH do not present any typical signs and symptoms of hypothyroidism shortly after birth, partly due to transplacental maternal thyroid hormone transfer and residual neonatal thyroid function. This paper reports on two CH cases. During the initial Neonatal Intensive Care Unit (NICU) admission phase, CH was not suspected due to nonspecific signs. The distinct characteristics of our cases are as follows: both infants were admitted to the NICU for respiratory distress syndrome, requiring invasive mechanical ventilation, and both were born to diabetic mothers. Following extubation, they both showed similar neurological issues, including reduced muscle tone and feeding difficulties. Initially, those symptoms were attributed to delayed clearance of analgesic and sedative medication. However, symptoms progressively worsened over time. Subsequent tests revealed both meeting CH diagnostic criteria: an unusual ultrasound indicating thyroid agenesis and abnormal hormone levels. Guided by the pediatric endocrinology team, prompt hormonal treatment was started with improvements in neurocognitive function and feeding. Usually, CH screening involves blood samples from healthy newborns at 2-3 days of life. Abnormal results require confirmation, prompting treatment within two weeks. Certain NICU-admitted infants face higher diagnosis delays, as seen in those two cases where CH screening was postponed. Thus, for all neonates with persistent pathologies unresponsive to standard etiological treatment, conducting a comprehensive anamnestic evaluation of the medical history, along with maternal preconceptional and prenatal nutrition, is recommended."
22,37891878,2023-10-28,"Do Dietary Supplements Affect Inflammation, Oxidative Stress, and Antioxidant Status in Adults with Hypothyroidism or Hashimoto's Disease?-A Systematic Review of Controlled Trials.","Hashimoto’s disease"", ""antioxidant status"", ""dietary supplements"", ""hypothyroidism"", ""inflammation"", ""oxidative stress","This systematic review aims to summarise the results of controlled trials on dietary supplements (DS) usage and inflammation, oxidative stress, antioxidant status, and thyroid parameter improvement in hypothyroidism (HT)/Hashimoto's thyroiditis (AIT) patients. The study protocol was registered with PROSPERO (no. CRD42022365149). A comprehensive search of the PubMed, Scopus, and Web of Science databases resulted in the identification of nineteen randomised controlled trials and three non-randomised studies for the review; three studies examined the effect of supplementation with vitamin D, twelve studies-with selenium, and seven studies-with other DS. Based on very limited evidence, the lack of influence of vitamin D supplementation on inflammatory parameters was found, while no studies have examined oxidative stress and antioxidant status parameters, and only one provided results for a single thyroid parameter after an intervention. Some evidence was found proving that selenium supplementation may decrease inflammation and improve thyroid parameters, but reaching a conclusion about its influence on oxidative stress and antioxidant status is not possible because of the insufficient number of studies. Additionally, due to examining other DS (e.g., multicomponent, "
