Article Count,Article ID,Publication Date,Title,Keywords,Abstract
11,37085767,2023-04-22,Rheumatism as a cause of cardiac hemangioma: a rare case report and review of literature with special focus on etiology.,"Benign heart tumors"", ""Cardiac surgery"", ""Hemangioma"", ""Rheumatic heart disease"", ""Rheumatism","Cardiac hemangioma is a very rare benign tumor of the heart which accounts for 1-2% of all primary cardiac tumors. Multiple cardiac hemangiomas are even rarer with only three cases published in the literature. Pathologically it can be divided into cavernous hemangioma, capillary hemangioma, arteriovenous hemangioma, mixed-type hemangioma, and so on. At present, the etiology of cardiac hemangioma is not completely clear. In this study, we present multiple cardiac hemangiomas located in the right atrium and discuss the new unreported possible cause (rheumatism) of cardiac hemangioma. This is the fourth case of multiple cardiac hemangiomas in the medical literature and the first time to present rheumatism as the cause of cardiac hemangioma.
A 53-year-old man presented to the clinic with intermittent chest tightness and shortness of breath for 2 years. On echocardiography, multiple soft tissue masses in the right atrium were found. The patient had rheumatic heart disease with severe mitral stenosis and moderate tricuspid regurgitation. Two masses with a diameter of about 20 mm and 15 mm were seen in the right atrium. One mass was located on the inferior margin of the fossa ovalis and the other was adjacent to the inferior vena cava. Both masses were successfully removed surgically. The mitral valve replacement and tricuspid valve plasty were performed at the same time. The postoperative histopathology results confirmed the diagnosis of cavernous hemangioma.
The occurrence of multiple hemangiomas in the heart is possible, especially in the presence of rheumatism. Rheumatism is one of the possible etiologies of cardiac hemangioma. Cardiologists and cardiac surgeons should be aware of its occurrence and should consider cardiac hemangioma as a differential diagnosis especially in rheumatic heart disease patients when they present with soft tissue cardiac masses for accurate management."
12,37035330,2023-04-11,CovAID: Identification of factors associated with severe COVID-19 in patients with inflammatory rheumatism or autoimmune diseases.,"COVID-19"", ""auto-immune diseases"", ""inflammatory rheumatic diseases"", ""lupus"", ""rheumatic and musculoskeletal diseases"", ""rituximab"", ""vasculitis","Autoimmune/inflammatory rheumatic diseases (AIRDs) patients might be at-risk of severe COVID-19. However, whether this is linked to the disease or to its treatment is difficult to determine. This study aimed to identify factors associated with occurrence of severe COVID-19 in AIRD patients and to evaluate whether having an AIRD was associated with increased risk of severe COVID-19 or death.
Two databases were analyzed: the EDS (Entrepôt des Données de Santé, Clinical Data Warehouse), including all patients followed in Paris university hospitals and the French multi-center COVID-19 cohort [French rheumatic and musculoskeletal diseases (RMD)]. First, in a combined analysis we compared patients with severe and non-severe COVID-19 to identify factors associated with severity. Then, we performed a propensity matched score case-control study within the EDS database to compare AIRD cases and non-AIRD controls.
Among 1,213 patients, 195 (16.1%) experienced severe COVID-19. In multivariate analysis, older age, interstitial lung disease (ILD), arterial hypertension, obesity, sarcoidosis, vasculitis, auto-inflammatory diseases, and treatment with corticosteroids or rituximab were associated with increased risk of severe COVID-19. Among 35,741 COVID-19 patients in EDS, 316 having AIRDs were compared to 1,264 Propensity score-matched controls. AIRD patients had a higher risk of severe COVID-19 [aOR = 1.43 (1.08-1.87), p = 0.01] but analysis restricted to rheumatoid arthritis and spondyloarthritis found no increased risk of severe COVID-19 [aOR = 1.11 (0.68-1.81)].
In this multicenter study, we confirmed that AIRD patients treated with rituximab or corticosteroids and/or having vasculitis, auto-inflammatory disease, and sarcoidosis had increased risk of severe COVID-19. Also, AIRD patients had, overall, an increased risk of severe COVID-19 compares general population."
13,37025560,2023-04-08,"Examine the Role of Psychological Resilience in Predicting Social and Professional Performance in Patients with Diabetes, Multiple Sclerosis, and Rheumatism.","Diabetes"", ""Multiple Sclerosis"", ""Psychological Resilience"", ""Rheumatism"", ""Social and Professional functioning","Psychological resilience is one of the most important factors that help a person adapt to the difficulties of life. The present study aimed to examine the role of psychological resilience in the social and professional functioning of patients with multiple sclerosis (MS), diabetes mellitus, and rheumatoid arthritis (RA). A total of 301 individuals (58.8% female) participated in the study. Approximately 44% of participants were diagnosed with diabetes, 28% with rheumatoid arthritis, and around 25% with multiple sclerosis. Two psychometric measures were used to achieve the objectives of the present study: the Psychological Resilience Scale and the Performance of Social and Occupational Functions Scale. Regression analyses were used to examine the amount of variance predicted by psychological resilience in terms of the following variables of social and professional functions: relationships, communication, social activities, entertainment activities, life skills, employment-based job functions, and unemployment-based job functions. Results revealed that psychological resilience positively predicted social and occupational functions among all illnesses. Resilience best predicted social and professional functions among MS patients, followed by diabetes patients and RA patients. These findings highlight the role of psychological resilience in improving the social and occupational performance of patients with chronic illnesses and the positive relationship between employment and resilience."
14,36875117,2023-03-07,Sequencing technology as a major impetus in the advancement of studies into rheumatism: A bibliometric study.,"classification"", ""expression"", ""identification"", ""rheumatism"", ""sequencing","Rheumatism covers a wide range of diseases with complex clinical manifestations and places a tremendous burden on humans. For many years, our understanding of rheumatism was seriously hindered by technology constraints. However, the increasing application and rapid advancement of sequencing technology in the past decades have enabled us to study rheumatism with greater accuracy and in more depth. Sequencing technology has made huge contributions to the field and is now an indispensable component and powerful tool in the study of rheumatism.
Articles on sequencing and rheumatism, published from 1 January 2000 to 25 April 2022, were retrieved from the Web of Science™ (Clarivate™, Philadelphia, PA, USA) database. Bibliometrix, the open-source tool, was used for the analysis of publication years, countries, authors, sources, citations, keywords, and co-words.
The 1,374 articles retrieved came from 62 countries and 350 institutions, with a general increase in article numbers during the last 22 years. The leading countries in terms of publication numbers and active cooperation with other countries were the USA and China. The most prolific authors and most popular documents were identified to establish the historiography of the field. Popular and emerging research topics were assessed by keywords and co-occurrence analysis. Immunological and pathological process in rheumatism, classification, risks and susceptibility, and biomarkers for diagnosis were among the hottest themes for research.
Sequencing technology has been widely applied in the study of rheumatism and propells research in the area of discovering novel biomarkers, related gene patterns and physiopathology. We suggest that further efforts be made to advance the study of genetic patterns related to rheumatic susceptibility, pathogenesis, classification and disease activity, and novel biomarkers."
15,36817934,2023-02-24,Prevalence and associated factors of cross-sectional and incident self-reported arthritis or rheumatism among a national community sample of middle-aged and older adults in Thailand.,"Thailand"", ""aging"", ""arthritis (MeSH)"", ""rheumatoid arthritis"", ""survey","The study aimed to assess the prevalence and associated factors of cross-sectional and incident arthritis or rheumatism among a national community sample of middle-aged and older adults in Thailand.
We analyzed cross-sectional and longitudinal data from two consecutive waves (2015 and 2017) of the Health, Aging, and Retirement in Thailand (HART) study. Arthritis or rheumatism (SRA) was assessed by self-reported health care provider diagnosis.
The cross-sectional (baseline) sample included 5,616 participants (≥45 years, median age 66 years, interquartile range 57 to 76 years) and the incident (follow-up) sample included 3,545 participants. The prevalence of SRA in the cross-sectional sample (baseline) was 4.0% and in the incident (follow-up) sample 5.3%. In the cross-sectional multivariable model, obesity class I (aOR: 1.78, 95% CI: 1.19 to 2.67), obesity class II (aOR: 1.82, 95% CI: 1.02 to 3.25), hypertension (aOR: 1.90, 95% CI: 1.35 to 2.66), brain disease and/or psychiatric problems (aOR: 4.79, 95% CI: 2.27 to 10.62), sleep problem (aOR: 1.45, 95% CI: 1.01 to 2.07) and prescription drug use (aOR: 1.63, 95% CI: 1.14 to 2.33) were positively associated, and not in the labor force (aOR: 0.53, 95% CI: 0.34 to 0.84), and employed (aOR: 0.63, 95% CI: 0.41 to 0.99) were negatively associated with SRA. In the incident multivariable model, obesity class I (aOR: 1.78, 95% CI: 1.17 to 3.61), obesity class II (aOR: 2.01, 95% CI: 1.12 to 3.61), poor mental health (aOR: 1.69, 95% CI: 1.19 to 2.41), and functional disability (aOR: 2.04, 95% CI: 1.01 to 4.13) were positively associated, and current alcohol use (aOR: 0.50, 95% CI: 0.25 to 0.99) was negatively associated with SRA.
The middle and older Thai adults had a low prevalence and incidence of SRA, and several physical and mental risk factors for cross-sectional and/or incident SRA were identified."
16,36683233,2023-01-24,Short-term Accrual 2019 European League Against Rheumatism/American College of Rheumatology Domains and Systemic Lupus International Collaborating Clinics/American College of Rheumatology Damage in Lupus Patients With and Without Nephritis at Disease Onset.,N/A,"To determine in a historical inception cohort the impact of lupus nephritis at disease onset in short-term accrual 2019 European League Against Rheumatism (EULAR)/American College of Rheumatology (ACR) domains. The possible association with treatment and damage was also investigated.
One hundred thirty-three consecutive adult systemic lupus erythematosus patients according to the 2019 EULAR/ACR criteria were divided according to the presence (RENAL-lupus) or absence of renal involvement (NONRENAL-lupus) at disease onset. The 2019 EULAR/ACR score and Systemic Lupus International Collaborating Clinics/ACR (SDI) were longitudinally evaluated over 3 years.
RENAL-lupus (n = 49 [36.8%]) and NONRENAL-lupus (n = 84 [63.2%]) were similar regarding age ( p = 0.704), female sex ( p = 0.313), and black race ( p = 0.506). At study entry, RENAL-lupus had higher 2019 EULAR/ACR total domains (30 [12-42] vs. 22 [10-36], p < 0.001) and used more often glucocorticoid ( p < 0.001), mycophenolate mofetil ( p = 0.007), and cyclophosphamide ( p = 0.001). After 3 years, a stable number of domain scores was observed for the RENAL-lupus (30 [12-42] vs. 30 [12-42], p = 0.125), whereas an increase was observed for the NONRENAL-lupus (22 [10-36] vs. 23 [10-40], p < 0.001) compared with baseline. Accordingly, RENAL-lupus patients had a lower frequency of additional domains (3/49 [6.1%] vs. 37/84 [44.0%], p < 0.0001). New kidney involvement occurred in 15 (44.1%) of 34 patients of the NONRENAL-lupus. Both groups evolved with a comparable increase in frequency of patients with damage (SDI ≥1) at the end of the study (23/49 [46.9%] vs. 34/89 [40.54%], p = 0.585) with a similar median of SDI (1 [0-4] vs. 0 [0-2], p = 0.132).
The distinct pattern of accrual 2019 EULAR/ACR domains in patients with and without nephritis at disease onset suggests that close surveillance for additional organ involvement, including kidney, is mandatory in NONRENAL lupus in the first 3 years of disease. The unexpected comparable early damage in both groups despite milder disease and less intense immunosuppression in NONRENAL lupus reinforces the need for new and tailored therapies for these patients."
17,36660085,2023-01-21,Prevalence and determinants of osteoporosis in Congolese patients with axial rheumatism: a cross-sectional hospital-based study.,"Kinshasa"", ""Osteoporosis"", ""axial pain"", ""determinants","osteoporosis seems to be uncommon in sub-Saharan Africa. The aim of this study was to determine prevalence and determinants of osteoporosis in Congolese outpatients attending rheumatology consultation for axial rheumatism in Kinshasa, Democratic Republic of the Congo.
a cross-sectional hospital-based study from January to December 2018 among outpatients received for axial rheumatism in 8 hospitals of Kinshasa. The parameters of interest were age, sex, body mass index (BMI), alcoholism, smoking, physical activity, sunlight exposure, intake of dairy products, the notion of personal or parental fracture, a bone mineral density (BMD) and a phosphocalcic metabolism. The BMD was measured by using the dual energy X-ray absorptiométry. Serum level of calcium, Vitamin D, phosphore and parathormon were determined to assess the phosphocalcic metabolism. Osteoporosis was defined by a T-Score ≤ -2.5 SD. Standard statistical tests were used to analyze the results.
ninety patients (75 women and 15 men) were included. Their mean age was 63.5 ± 12.2 years. Low back pain 71.1% (n=63) was the main symptom. The rate of patients with osteoporosis, osteopenia, and normal bone density was 34.4% (n=31), 43.9% (n=44), and 16.7% (n=15) respectively. Pathological bone fractures were not noted. Ageing (aOR: 1.31, IC95%: 1.11-1.54; p=0.002), smoking (aOR: 14.65, IC95%: 1.38-156.1; p=0.045) and non-obese status (aOR: 32.3, IC95% 1.50-696; p=0.032) were identified as determinants of osteoporosis.
in the present study, osteoporosis is common in Congolese patients with axial pain and is more frequent in women. Its determinants are ageing, smoking and non-obese status."
18,36561716,2022-12-24,Comparing clinical characteristics of systemic sclerosis with or without interstitial lung disease: A cross-sectional study from a single center of the Chinese Rheumatism Data Center.,"China"", ""clinical characteristic"", ""cross-sectional study"", ""interstitial lung disease (ILD)"", ""systemic sclerosis","We aimed to compare the clinical characteristics of patients with systemic sclerosis (SSc) with or without interstitial lung disease (ILD) to identify relationships with the presence of ILD in SSc at a single center in China.
A cross-sectional study was conducted using retrospective data from the Chinese Rheumatology Data Center. Patients diagnosed with SSc at the Second Affiliated Hospital of Nanchang University between 2013 and 2022 were included. Demographic and clinical characteristics were compared between patients with SSc with and without ILD. Logistic regression analyses were performed to explore these associations.
A total of 227 patients with SSc were included (male:female ratio = 1:4.82), of which 121 (53.3%) were accompanied with ILD. SSc patients with ILD had a higher percentage of diffuse cutaneous systemic sclerosis (dcSSc), sclerodactyly, loss of finger pad, muscle involvement, left ventricular diastolic dysfunction (LVDD), and pulmonary hypertension (PAH), elevated Krebs von den Lungen-6 (KL-6), and elevated ferritin than those without ILD, and a higher modified Rodnan skin score (mRSS), neutrophil-to-lymphocyte ratio (NLR) and platelet-to-lymphocyte ratio (PLR) (all 
Systemic sclerosis was found mainly in females. Several important differences in clinical and laboratory characteristics have been demonstrated between SSc patients with or without ILD. Muscle involvement, LVDD, PAH, dcSSc, PLR, elevated KL-6, and Anti-Scl-70 antibody may be associated with SSc in patients with ILD."
19,36536579,2022-12-21,[The analysis to data from Chinese Rheumatism Data Center external quality assurance program for autoantibodies in 2021].,N/A,"To evaluate the data obtained from the external quality assurance program initiated by Chinese Rheumatism Data Center (CRDC-QAP) for autoantibodies detection in 2021, so as to assess the consensus and differences in cross-laboratory testing to autoantibodies in China. This is a retrospective study. After collecting data from the first half year (from May 15th to July 10th) and the second half year (from August 15th to November 19th) of CRDC-QAP program for autoantibody detection in 2021, it firstly analyzed the qualitative consensus of the cross-laboratory results. Secondly, it compared the positivity grade of numeric results according to the Sample to cut-off ratio (S/CO ratio) calculation. Finally, the mean and coefficient variation (
通过分析2021年国家风湿病数据中心（CRDC）自身抗体室间比对活动中全国各地回报的检测数据，评价国内不同实验室间自身抗体相关检测项目的一致性。采用回顾性研究，收集自2021年自愿报名参加CRDC上半年（从5月15日至7月10日）和下半年（从8月15日至11月19日）自身抗体室间比对活动的实验室回报结果。首先，定性分析不同实验室回报结果的一致性；其次，对预期结果为“阳性”比对样本且以量值形式回报的结果，按照S/CO比值分析不同实验室回报结果的阳性等级；最后，分析三个主要厂家按量值形式回报结果的平均值和变异系数。结果显示，自愿参加CRDC自身抗体室间比对活动上半年和下半年的实验室数量分别为303和332家。除抗β2糖蛋白Ⅰ型抗体IgM（aβ2-GPI）项目之外，其余项目不同实验室的定性结果一致性均大于96%。抗环瓜氨酸化多肽抗体（anti-CCP）和抗线粒体2型抗体（AMA-M2）等按量值形式回报结果的反应强度一致性良好（>90%）。使用化学发光免疫试验开展自身抗体检测的实验室占比已经超过50%。不同生产厂家按量值形式回报结果的变异系数差异较大（"
20,36525329,2022-12-17,Ankle Charcot Mimics: Tubercular Rheumatism to Complex Regional Pain Syndrome.,N/A,"Charcot Foot is often misdiagnosed because of its varied presentation that mimics other common disorders including tubercular rheumatism, complex regional pain syndrome or gout. We present a case of ankle swelling and discuss the differential diagnosis, radiological findings, and management. We also discuss the approach to diagnosis and provide differences in clinical presentations, magnetic resonance imaging,and bone scan findings for various differentials considered for Charcot foot."
21,36444426,2022-11-30,[Interpretation on the 2021 European League Against Rheumatism and American College of Rheumatology points to consider for diagnosis and management of autoinflammatory type Ⅰ interferonopathies].,N/A,Ⅰ型干扰素病是近年来提出的一大类自身炎症性疾病，其中伴发热和脂肪萎缩的慢性非典型嗜中性粒细胞皮病、婴儿期发病的干扰素基因刺激蛋白相关血管病变和Aicardi-Goutières综合征是其中相对常见的3种疾病。随着对于该类疾病的遗传学病因以及治疗方案的了解不断深入，为提高该类疾病的诊断、治疗及长期管理效果，欧洲抗风湿病联盟及美国风湿病学会在
22,36388918,2022-11-18,Vasculitis and familial Mediterranean fever: Description of 22 French adults from the juvenile inflammatory rheumatism cohort.,"Behçet syndrome"", ""IgA vasculitis"", ""anti-neutrophil cytoplasmic antibody-associated vasculitis"", ""familial Mediterranean fever"", ""polyarteritis nodosa"", ""pyrin"", ""vasculitis","The frequency of vasculitis may be increased in patients with Familial Mediterranean Fever (FMF), according to several studies. Our aim was to assess the characteristics of French adult patients with both diseases.
Patients with vasculitis were selected from patients followed for FMF in the French JIR-cohort.
Twenty-two patients were included [polyarteritis nodosa (PAN) 
This study confirms the predominance of PAN and IgA vasculitis in patients with FMF and the high frequency of bleeding in FMF-associated PAN. FMF should be considered in case of persistent symptoms and/or inflammatory syndrome despite vasculitis treatment in Mediterranean patients."
